Transaction Date,Post Date,Description,Category,Type,Amount
07/20/2024,07/22/2024,PRICESMART FOOD COURT FRA,Shopping,Sale,-5.16
07/18/2024,07/21/2024,PRICESMART FRAIJANES,Shopping,Sale,-207.18
07/20/2024,07/21/2024,Payment Thank You - Web,,Payment,1510.65
07/19/2024,07/21/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-2.17
07/18/2024,07/21/2024,PRICESMART FOOD COURT FRA,Shopping,Sale,-5.17
07/18/2024,07/19/2024,DELTA AIR   0062252156356,Travel,Sale,-536.10
07/18/2024,07/19/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-6.90
07/17/2024,07/19/2024,CAFE BARISTA CB143 BARBER,Food & Drink,Sale,-9.04
07/17/2024,07/18/2024,WENDYS SAN JOSE PINULA,Food & Drink,Sale,-11.62
07/17/2024,07/18/2024,WENDYS SAN JOSE PINULA,Food & Drink,Sale,-2.71
07/17/2024,07/18/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-2.14
07/16/2024,07/17/2024,ESTACION DE  SERVICIO CAS,Gas,Sale,-64.95
07/15/2024,07/17/2024,PANADER A SN MART N PLZ M,Food & Drink,Sale,-7.23
07/15/2024,07/17/2024,SUPER LA TORRE MADERO -VN,Groceries,Sale,-66.90
07/15/2024,07/17/2024,CAFE BARISTA CB143 BARBER,Food & Drink,Sale,-8.26
07/15/2024,07/16/2024,NOVEX CARRETERA A EL SALV,Home,Sale,-48.42
07/15/2024,07/16/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-26.09
07/14/2024,07/15/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-7.66
07/14/2024,07/15/2024,CHOLOCATERA ANTIGUA,Shopping,Sale,-10.84
07/14/2024,07/15/2024,CHOLOCATERA ANTIGUA,Shopping,Sale,-15.35
07/12/2024,07/14/2024,PLAZA MONTE SAGRADO,Shopping,Sale,-1.68
07/12/2024,07/14/2024,PLAZA NORTE SB1,Shopping,Sale,-1.68
07/11/2024,07/12/2024,SAN MARTIN PLAZA MADERO,Food & Drink,Sale,-2.26
07/11/2024,07/12/2024,FRINGE,Personal,Sale,-167.14
07/11/2024,07/12/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-11.85
07/10/2024,07/12/2024,SUPER LA TORRE MADERO -VN,Groceries,Sale,-15.96
07/09/2024,07/11/2024,DOLLARCITY PLZ BARBERENA,Home,Sale,-11.61
07/09/2024,07/11/2024,COLEGIO CAMPO VERDE     -,Education,Sale,-59.69
07/10/2024,07/11/2024,SAN MARTIN PLAZA MADERO,Food & Drink,Sale,-12.58
07/09/2024,07/10/2024,MCDONALDS BARBERENA,Groceries,Sale,-4.90
07/09/2024,07/10/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-28.15
07/08/2024,07/09/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-15.66
07/08/2024,07/09/2024,FIT SPORTS,Shopping,Sale,-45.14
07/06/2024,07/08/2024,Tigo Guatemala,Bills & Utilities,Sale,-25.64
07/07/2024,07/08/2024,GASOLINERA EL CERINAL,Gas,Sale,-65.10
07/07/2024,07/08/2024,MCDONALDS BARBERENA,Groceries,Sale,-3.35
07/07/2024,07/08/2024,CANCHAS DEPORTIVAS D VOLE,Entertainment,Sale,-6.44
07/04/2024,07/07/2024,GLOBAL SPORTS CORPORATION,Personal,Sale,-285.51
07/04/2024,07/07/2024,Tigo Guatemala,Bills & Utilities,Sale,-82.37
07/04/2024,07/07/2024,ANFORA BARBERENA,Groceries,Sale,-1.55
07/06/2024,07/07/2024,CANCHAS DEPORTIVAS D VOLE,Entertainment,Sale,-12.89
07/06/2024,07/07/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-0.45
07/05/2024,07/07/2024,NETFLIX.COM,Bills & Utilities,Sale,-7.66
07/06/2024,07/07/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-40.44
07/06/2024,07/07/2024,MOVES APP SUBSCRIPTION,Personal,Sale,-20.00
07/04/2024,07/05/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-23.20
07/04/2024,07/05/2024,MEGAPACA BARBERENA,Shopping,Sale,-13.53
07/04/2024,07/05/2024,CENTRO CONVENIENCIA L.ALT,Gas,Sale,-4.06
07/04/2024,07/04/2024,Payment Thank You-Mobile,,Payment,2286.00
07/03/2024,07/04/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-11.48
07/03/2024,07/04/2024,GLOBAL SPORTS CORPORATION,Personal,Sale,-128.25
07/02/2024,07/04/2024,SPORTA GUATEMALA,Personal,Sale,-67.65
07/03/2024,07/04/2024,LA CAJA,Personal,Sale,-102.47
07/03/2024,07/04/2024,FIT SPORTS,Shopping,Sale,-25.14
07/01/2024,07/03/2024,PRICESMART FRAIJANES,Groceries,Sale,-69.54
07/01/2024,07/03/2024,SUPER LA TORRE MADERO -VN,Groceries,Sale,-71.82
07/01/2024,07/02/2024,THE SHOT BY LOOPS,Entertainment,Sale,-9.02
07/01/2024,07/02/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-23.60
07/01/2024,07/02/2024,TNTWARE,Professional Services,Sale,-30.00
07/01/2024,07/02/2024,THE SHOT BY LOOPS,Entertainment,Sale,-7.23
07/01/2024,07/02/2024,THE SHOT BY LOOPS,Entertainment,Sale,-10.31
07/01/2024,07/02/2024,SAN MARTIN PLAZA MADERO,Groceries,Sale,-8.57
07/01/2024,07/02/2024,THE SHOT BY LOOPS,Entertainment,Sale,-17.40
07/01/2024,07/02/2024,THE SHOT BY LOOPS,Entertainment,Sale,-2.58
06/30/2024,07/01/2024,PROTON AG,Professional Services,Sale,-8.99
06/29/2024,06/30/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-13.63
06/28/2024,06/30/2024,SUPER LA TORRE MADERO -VN,Groceries,Sale,-99.77
06/28/2024,06/30/2024,BELLA PIEL PLAZA CONCEPCI,Health & Wellness,Sale,-51.55
06/28/2024,06/30/2024,PARQUEO CONCEPCION,Travel,Sale,-1.93
06/28/2024,06/30/2024,MEYKOS PLAZA MADERO CAES,Health & Wellness,Sale,-149.48
06/26/2024,06/28/2024,OAKLAND MALL PARQUEO,Travel,Sale,-1.93
06/27/2024,06/28/2024,PLAZA MONTE SAGRADO,Shopping,Sale,-1.68
06/27/2024,06/28/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-7.58
06/26/2024,06/28/2024,MEDITERRANEO COCINA DE AU,Food & Drink,Sale,-39.69
06/27/2024,06/28/2024,WENDYS SAN JOSE PINULA,Food & Drink,Sale,-13.66
06/25/2024,06/27/2024,CENTRO COM PRADERA CONCEP,Travel,Sale,-1.93
06/24/2024,06/26/2024,POLLO CAMPERO 686 PL BARB,Food & Drink,Sale,-29.15
06/24/2024,06/26/2024,DOLLARCITY PLZ BARBERENA,Home,Sale,-6.19
06/24/2024,06/25/2024,MCDONALDS BARBERENA,Food & Drink,Sale,-19.48
06/22/2024,06/24/2024,PANADERIA SAN MARTIN COND,Food & Drink,Sale,-7.28
06/22/2024,06/24/2024,PANAD SAN MARTIN MINUTO M,Food & Drink,Sale,-6.31
06/22/2024,06/23/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-79.76
06/22/2024,06/23/2024,SPORTA GUATEMALA,Entertainment,Sale,-12.89
06/22/2024,06/23/2024,POLLO CAMPERO 137 C.CONCE,Food & Drink,Sale,-9.28
06/21/2024,06/23/2024,SPORTA GUATEMALA,Entertainment,Sale,-16.13
06/22/2024,06/23/2024,THE SHOT BY LOOPS,Entertainment,Sale,-35.70
06/21/2024,06/23/2024,PedidosYa RESTAURANTES,Food & Drink,Sale,-9.16
06/22/2024,06/23/2024,SAN MARTIN MUXBAL,Food & Drink,Sale,-39.56
06/22/2024,06/23/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-17.81
06/23/2024,06/23/2024,TRANSACTION FEE,Fees & Adjustments,Fee,-10.00
06/22/2024,06/23/2024,XOOM.COM,Personal,Cash Advance,-93.22
06/22/2024,06/23/2024,PARQUEO LA AURORA EPR5,Travel,Sale,-2.58
06/20/2024,06/23/2024,Tigo Guatemala,Bills & Utilities,Sale,-82.45
06/22/2024,06/23/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-9.14
06/22/2024,06/23/2024,SPORTA GUATEMALA,Entertainment,Sale,-61.21
06/20/2024,06/23/2024,DOMINOS BARBERENA,Food & Drink,Sale,-44.13
06/20/2024,06/21/2024,GLOBAL SPORTS CORPORATION,Entertainment,Sale,-1.29
06/20/2024,06/21/2024,XOOM.COM,Bills & Utilities,Sale,-264.99
06/20/2024,06/21/2024,HOT DOQUERIA EL CHINITO 2,Food & Drink,Sale,-2.97
06/20/2024,06/21/2024,HOT DOQUERIA EL CHINITO 2,Food & Drink,Sale,-1.03
06/20/2024,06/21/2024,CEMACO CARRETERA A EL SAL,Home,Sale,-5.81
06/18/2024,06/20/2024,SUPER LA TORRE MADERO -VN,Groceries,Sale,-136.65
06/18/2024,06/19/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-4.12
06/18/2024,06/18/2024,Payment Thank You-Mobile,,Payment,1229.75
06/17/2024,06/18/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-16.78
06/13/2024,06/16/2024,PRICESMART FRAIJANES,Groceries,Sale,-138.10
06/14/2024,06/16/2024,GLOBAL SPORTS CORPORATION,Entertainment,Sale,-1.29
06/14/2024,06/16/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-5.31
06/13/2024,06/16/2024,POLLO CAMPERO 686 PL BARB,Food & Drink,Sale,-18.69
06/13/2024,06/16/2024,SUPER LA TORRE MADERO -VN,Groceries,Sale,-168.48
06/15/2024,06/16/2024,AMAZON MKTPL*5H6LI9J93,Shopping,Sale,-91.84
06/15/2024,06/16/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-69.75
06/14/2024,06/16/2024,PETOLOGY,Miscellaneous,Sale,-216.55
06/13/2024,06/14/2024,GLOBAL SPORTS CORPORATION,Entertainment,Sale,-1.29
06/13/2024,06/14/2024,CANTEL PLAZA MADERO,Home,Sale,-4.42
06/13/2024,06/14/2024,HOT DOQUERIA EL CHINITO 2,Food & Drink,Sale,-14.57
06/13/2024,06/14/2024,SAN MARTIN PLAZA MADERO,Food & Drink,Sale,-16.43
06/13/2024,06/14/2024,ETSY  INC.,Shopping,Sale,-8.00
06/13/2024,06/14/2024,NOVEX CARRETERA A EL SALV,Home,Sale,-37.38
06/13/2024,06/14/2024,DRIBBLEUP.COMEMBRSHIP,Entertainment,Sale,-18.39
06/12/2024,06/13/2024,GLOBAL SPORTS CORPORATION,Entertainment,Sale,-1.29
06/11/2024,06/12/2024,LA CAJA,Entertainment,Sale,-102.47
06/10/2024,06/11/2024,GLOBAL SPORTS CORPORATION,Entertainment,Sale,-1.29
06/09/2024,06/10/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-34.95
06/07/2024,06/09/2024,POLLO PINULITO PORTAL SOL,Food & Drink,Sale,-1.87
06/07/2024,06/09/2024,SUPER 24 SOLE,Groceries,Sale,-3.61
06/07/2024,06/09/2024,GLOBAL SPORTS CORPORATION,Entertainment,Sale,-1.29
06/08/2024,06/09/2024,Payment Thank You-Mobile,,Payment,410.26
06/07/2024,06/09/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-52.49
06/07/2024,06/09/2024,FCV OLMECA KM 16.5,Health & Wellness,Sale,-17.75
06/07/2024,06/09/2024,DOLLARCITY PLZ BARBERENA,Home,Sale,-3.22
06/06/2024,06/09/2024,TECNISCAN FRAIJANES,Health & Wellness,Sale,-10.95
06/07/2024,06/09/2024,SERMESA CARRETERA A EL SA,Health & Wellness,Sale,-22.55
06/07/2024,06/09/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-1.61
06/07/2024,06/09/2024,LA NEVERIA PLAZA BARBEREN,Food & Drink,Sale,-6.83
06/08/2024,06/09/2024,POLLO CAMPERO 686,Food & Drink,Sale,-26.22
06/06/2024,06/09/2024,POLLO CAMPERO 191 CA EL S,Food & Drink,Sale,-6.70
06/06/2024,06/09/2024,Tigo Guatemala,Bills & Utilities,Sale,-25.64
06/07/2024,06/09/2024,PRICESMART FRAIJANES,Groceries,Sale,-98.53
06/06/2024,06/07/2024,MOVES APP SUBSCRIPTION,Personal,Sale,-20.00
06/06/2024,06/07/2024,GLOBAL SPORTS CORPORATION,Entertainment,Sale,-1.29
06/05/2024,06/06/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-22.43
06/05/2024,06/05/2024,Payment Thank You-Mobile,,Payment,986.14
06/03/2024,06/05/2024,CAFE BARISTA CB143 BARBER,Food & Drink,Sale,-5.80
06/05/2024,06/05/2024,LA LIGA ESPAOLA CAM...,Personal,Sale,-360.74
06/03/2024,06/04/2024,GLOBAL SPORTS CORPORATION,Entertainment,Sale,-2.58
06/03/2024,06/04/2024,GLOBAL SPORTS CORPORATION,Entertainment,Sale,-128.22
06/02/2024,06/04/2024,DOLLARCITY PLZ BARBERENA,Home,Sale,-7.47
06/01/2024,06/03/2024,PRICESMART FOOD COURT FRA,Food & Drink,Sale,-5.93
06/01/2024,06/03/2024,SUPER LA TORRE MADERO -VN,Groceries,Sale,-5.77
06/01/2024,06/03/2024,SUPER LA TORRE MADERO -VN,Groceries,Sale,-28.49
06/01/2024,06/03/2024,PRICESMART FRAIJANES,Groceries,Sale,-15.46
06/02/2024,06/03/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-1.03
06/01/2024,06/03/2024,PRICESMART FRAIJANES,Groceries,Sale,-77.41
06/02/2024,06/03/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-12.45
06/02/2024,06/03/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-2.90
06/01/2024,06/02/2024,PARQUEO LA AURORA EPR2,Travel,Sale,-2.58
05/31/2024,06/02/2024,CAFE BARISTA CB143 BARBER,Food & Drink,Sale,-3.09
05/30/2024,06/02/2024,SUPER LA TORRE MADERO -VN,Groceries,Sale,-2.29
05/30/2024,06/02/2024,SUPER LA TORRE MADERO -VN,Groceries,Sale,-119.23
06/01/2024,06/02/2024,PARQUEO LA AURORA EPR4,Travel,Sale,-2.58
06/01/2024,06/02/2024,TNTWARE,Bills & Utilities,Sale,-30.00
06/01/2024,06/02/2024,PLAZA MONTE SAGRADO,Shopping,Sale,-1.68
06/01/2024,06/02/2024,PLAZA NORTE SB1,Shopping,Sale,-1.68
05/30/2024,06/02/2024,STARBUCKS FRAIJANES,Food & Drink,Sale,-22.55
05/31/2024,06/02/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-5.34
05/29/2024,05/31/2024,Tigo Guatemala,Bills & Utilities,Sale,-82.35
05/30/2024,05/31/2024,PROTON AG,Professional Services,Sale,-8.99
05/29/2024,05/30/2024,GLOBAL SPORTS CORPORATION,Entertainment,Sale,-1.29
05/29/2024,05/30/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-33.78
05/28/2024,05/29/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-7.95
05/28/2024,05/29/2024,HOT DOQUERIA EL CHINITO 2,Food & Drink,Sale,-6.70
05/28/2024,05/29/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-28.42
05/28/2024,05/29/2024,GLOBAL SPORTS CORPORATION,Entertainment,Sale,-1.29
05/27/2024,05/28/2024,GLOBAL SPORTS CORPORATION,Entertainment,Sale,-1.29
05/27/2024,05/28/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-10.47
05/27/2024,05/28/2024,MOVES APP SUBSCRIPTION,Groceries,Sale,-30.00
05/26/2024,05/27/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-1.77
05/24/2024,05/26/2024,PedidosYa RESTAURANTES,Food & Drink,Sale,-9.54
05/25/2024,05/26/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-89.32
05/24/2024,05/26/2024,SERMESA CARRETERA A EL SA,Health & Wellness,Sale,-165.58
05/23/2024,05/26/2024,SUPER LA TORRE MADERO -VN,Groceries,Sale,-11.53
05/22/2024,05/24/2024,PANADER A SN MART N PLZ M,Food & Drink,Sale,-15.45
05/23/2024,05/24/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-1.69
05/23/2024,05/23/2024,Payment Thank You - Web,,Payment,1256.98
05/21/2024,05/22/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-70.76
05/20/2024,05/21/2024,INNOVAMED CC,Health & Wellness,Sale,-135.05
05/19/2024,05/21/2024,ANTHROPOLOGIE.COM,Shopping,Sale,-54.77
05/19/2024,05/20/2024,POLLO CAMPERO 686,Food & Drink,Sale,-42.14
05/18/2024,05/20/2024,PRICESMART FRAIJANES,Groceries,Sale,-132.62
05/18/2024,05/20/2024,MEGAPACA BARBERENA,Entertainment,Sale,-2.38
05/17/2024,05/19/2024,PLAZA NORTE SB1,Shopping,Sale,-1.68
05/18/2024,05/19/2024,PANADER A SN MART N PLZ M,Food & Drink,Sale,-6.31
05/16/2024,05/19/2024,COLEGIO CAMPO VERDE     -,Education,Sale,-118.86
05/17/2024,05/19/2024,WALMART ATANASIO TZUL,Groceries,Sale,-96.20
05/17/2024,05/19/2024,PAYPAL *ROJASESTEBAN87,Professional Services,Sale,-211.09
05/18/2024,05/19/2024,FARMACIA BATRES BARBERENA,Health & Wellness,Sale,-11.49
05/18/2024,05/19/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-6.24
05/18/2024,05/19/2024,PROCASA PLAZA NOVITA,Groceries,Sale,-26.35
05/17/2024,05/19/2024,Guatemala vs Dominica,Entertainment,Sale,-73.45
05/17/2024,05/19/2024,PLAZA MONTE SAGRADO,Shopping,Sale,-1.68
05/16/2024,05/19/2024,Guatemala vs Dominica,Entertainment,Sale,-122.45
05/17/2024,05/19/2024,GLOBAL SPORTS CORPORATION,Entertainment,Sale,-1.29
05/16/2024,05/17/2024,ES CAFE 2,Food & Drink,Sale,-95.77
05/16/2024,05/17/2024,GLOBAL SPORTS CORPORATION,Entertainment,Sale,-1.29
05/16/2024,05/17/2024,SHERWIN WILLIAMS/DIDEMA S,Home,Sale,-45.11
05/16/2024,05/16/2024,Payment Thank You-Mobile,,Payment,386.08
05/14/2024,05/15/2024,CEMACO CARRETERA A EL SAL,Home,Sale,-27.06
05/14/2024,05/15/2024,PANADER A SN MART N PLZ M,Food & Drink,Sale,-20.81
05/14/2024,05/15/2024,NOVEX CARRETERA A EL SALV,Home,Sale,-18.69
05/14/2024,05/15/2024,CEMACO CARRETERA A EL SAL,Home,Sale,-80.53
05/13/2024,05/14/2024,PETOLOGY,Shopping,Sale,-30.93
05/11/2024,05/14/2024,CONSTANTIA VILLAGE,Food & Drink,Sale,-42.40
05/13/2024,05/14/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-46.70
05/11/2024,05/14/2024,KIELSA BARBERENA H41,Health & Wellness,Sale,-12.56
05/13/2024,05/14/2024,DRIBBLEUP.COMEMBRSHIP,Shopping,Sale,-18.39
05/13/2024,05/14/2024,HOT DOQUERIA EL CHINITO 2,Food & Drink,Sale,-2.45
05/13/2024,05/13/2024,Payment Thank You-Mobile,,Payment,1600.96
05/12/2024,05/13/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-10.82
05/11/2024,05/13/2024,FARMACIA LA CUCHILLA,Health & Wellness,Sale,-4.51
05/11/2024,05/13/2024,CENTRO COM PRADERA CONCEP,Travel,Sale,-1.93
05/11/2024,05/13/2024,ANAIS PRADERA CONCEPCION,Shopping,Sale,-68.30
05/11/2024,05/12/2024,GRUPO PALOMINO RANCH,Food & Drink,Sale,-46.07
05/10/2024,05/12/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-0.68
05/11/2024,05/12/2024,PLANT,Education,Sale,-149.48
05/10/2024,05/12/2024,MCDONALDS BARBERENA,Food & Drink,Sale,-8.38
05/11/2024,05/12/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-1.29
05/09/2024,05/10/2024,H.SARITA KIOSCO BARBERENA,Food & Drink,Sale,-10.44
05/09/2024,05/10/2024,GLOBAL SPORTS CORPORATION,Entertainment,Sale,-128.22
05/08/2024,05/10/2024,Tigo Guatemala,Bills & Utilities,Sale,-72.55
05/09/2024,05/10/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-20.68
05/08/2024,05/10/2024,PRICESMART FRAIJANES,Groceries,Sale,-33.75
05/09/2024,05/10/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-7.73
05/08/2024,05/10/2024,KIELSA BARBERENA H41,Health & Wellness,Sale,-21.44
05/08/2024,05/09/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-18.04
05/08/2024,05/09/2024,PUERTA DEL SOL CONCEPCION,Groceries,Sale,-19.15
05/08/2024,05/09/2024,CS *LOFT E-GIFT CARD,Shopping,Sale,-25.00
05/08/2024,05/09/2024,GLOBAL SPORTS CORPORATION,Entertainment,Sale,-1.29
05/08/2024,05/08/2024,DRIBBLEUP.COSMARTBALL,Shopping,Sale,-32.46
05/06/2024,05/08/2024,GLOBAL SPORTS CORPORATION,Travel,Sale,-282.75
05/06/2024,05/07/2024,MOVES APP SUBSCRIPTION,Groceries,Sale,-20.00
05/06/2024,05/07/2024,HOT DOQUERIA EL CHINITO 2,Food & Drink,Sale,-18.56
05/05/2024,05/07/2024,Tigo Guatemala,Bills & Utilities,Sale,-25.63
05/04/2024,05/06/2024,CENTRO COM PRADERA CONCEP,Travel,Sale,-1.93
05/04/2024,05/06/2024,SUPER LA TORRE MADERO -VN,Groceries,Sale,-112.63
05/04/2024,05/06/2024,ANAIS PRADERA CONCEPCION,Shopping,Sale,-85.66
05/04/2024,05/06/2024,PRICESMART FRAIJANES,Groceries,Sale,-178.33
05/04/2024,05/05/2024,STRADIVARIUS PRADERA,Shopping,Sale,-29.37
05/04/2024,05/05/2024,SOCCERMANIA (PRAD. C,Shopping,Sale,-27.05
05/04/2024,05/05/2024,GT ZKIN FRAIJANES,Bills & Utilities,Sale,-47.02
05/04/2024,05/05/2024,BERSHKA PRADERA CONC,Shopping,Sale,-34.88
05/04/2024,05/05/2024,PUERTA DEL SOL CONCEPCION,Groceries,Sale,-81.32
05/02/2024,05/03/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-11.72
05/01/2024,05/02/2024,TNTWARE,Shopping,Sale,-30.00
05/01/2024,05/02/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-8.47
05/01/2024,05/01/2024,Payment Thank You-Mobile,,Payment,1471.69
04/30/2024,05/01/2024,PROTON AG,Professional Services,Sale,-8.99
04/28/2024,04/30/2024,TIENDAS VILLAHORRO,Groceries,Sale,-5.80
04/28/2024,04/30/2024,PRICESMART FRAIJANES,Groceries,Sale,-255.51
04/28/2024,04/30/2024,POLLO CAMPERO 191 CA EL S,Food & Drink,Sale,-9.66
04/28/2024,04/30/2024,SUPER LA TORRE MADERO -VN,Groceries,Sale,-38.33
04/29/2024,04/30/2024,MCDONALDS BARBERENA,Food & Drink,Sale,-6.25
04/28/2024,04/30/2024,CAFE ITZA,Food & Drink,Sale,-3.22
04/28/2024,04/29/2024,HOTEL ISLA DE FLORES,Travel,Sale,-39.10
04/27/2024,04/29/2024,DEPOSITO LA BODEGUITA,Groceries,Sale,-4.38
04/28/2024,04/29/2024,SAN MARTIN PLAZA MADERO,Food & Drink,Sale,-19.32
04/27/2024,04/29/2024,HOTEL ISLA DE FLORES,Travel,Sale,-60.01
04/25/2024,04/26/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-38.87
04/25/2024,04/26/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-54.80
04/24/2024,04/25/2024,SUBWAY PLAZA VARIETA,Food & Drink,Sale,-9.27
04/23/2024,04/24/2024,AIRBNB  HM3HJ9KPFQ,Travel,Sale,-161.11
04/22/2024,04/23/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-30.27
04/21/2024,04/22/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-6.94
04/19/2024,04/21/2024,H.SARITA KIOSCO BARBERENA,Food & Drink,Sale,-6.57
04/20/2024,04/21/2024,PAYPAL *ROJASESTEBAN87,Professional Services,Sale,-262.54
04/20/2024,04/21/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-2.20
04/20/2024,04/21/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-73.36
04/20/2024,04/21/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-33.97
04/19/2024,04/21/2024,SAM PET FOODS,Miscellaneous,Sale,-96.55
04/14/2024,04/16/2024,TARGET        00010322,Shopping,Sale,-197.72
04/15/2024,04/15/2024,Payment Thank You-Mobile,,Payment,1884.53
04/13/2024,04/15/2024,IAH CS CIBO EXP S BRID,Groceries,Sale,-11.14
04/13/2024,04/15/2024,UNITED      0164292537787,Travel,Sale,-44.80
04/12/2024,04/14/2024,ANFORA BARBERENA,Food & Drink,Sale,-0.77
04/13/2024,04/14/2024,DRIBBLEUP.COMEMBRSHIP,Entertainment,Sale,-18.39
04/12/2024,04/14/2024,AMZN Mktp US*VB44C3E13,Shopping,Sale,-95.60
04/12/2024,04/14/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-3.59
04/12/2024,04/14/2024,CENTRO COM PRADERA CONCEP,Miscellaneous,Sale,-1.93
04/11/2024,04/12/2024,INTUIT *QBooks Online,Professional Services,Sale,-1.00
04/11/2024,04/12/2024,XOOM.COM,Bills & Utilities,Sale,-244.13
04/11/2024,04/12/2024,AMZN Mktp US*2F2JC6WM3,Shopping,Sale,-211.45
04/10/2024,04/11/2024,Amazon.com*FA0690RJ3,Shopping,Sale,-12.79
04/09/2024,04/10/2024,DRIBBLEUP.COSMARTBALL,Entertainment,Sale,-38.96
04/07/2024,04/08/2024,Amazon Prime*T233P3JS3,Bills & Utilities,Sale,-15.08
04/06/2024,04/08/2024,Tigo Guatemala,Bills & Utilities,Sale,-82.13
04/05/2024,04/07/2024,Tigo Guatemala,Bills & Utilities,Sale,-25.58
04/05/2024,04/07/2024,ANFORA BARBERENA,Food & Drink,Sale,-1.54
04/06/2024,04/07/2024,MOVES APP SUBSCRIPTION,Groceries,Sale,-20.00
04/03/2024,04/04/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-13.55
04/01/2024,04/02/2024,TNTWARE,Bills & Utilities,Sale,-30.00
04/01/2024,04/02/2024,HOT DOQUERIA EL CHINITO 2,Food & Drink,Sale,-15.54
03/30/2024,04/01/2024,FAYCO PRADERA,Health & Wellness,Sale,-6.31
03/30/2024,04/01/2024,CINES PRADERA CONCEPCION,Entertainment,Sale,-7.19
03/30/2024,04/01/2024,SOCCERMANIA (PRAD. C,Entertainment,Sale,-179.83
03/30/2024,04/01/2024,CENTRO COM PRADERA CONCEP,Miscellaneous,Sale,-1.93
03/30/2024,03/31/2024,PROTON AG,Professional Services,Sale,-8.99
03/29/2024,03/31/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-2.08
03/30/2024,03/31/2024,DEL GRIEGO,Food & Drink,Sale,-38.02
03/29/2024,03/31/2024,MCDONALDS BARBERENA,Food & Drink,Sale,-2.83
03/30/2024,03/31/2024,CIRCUITO ALBA (TAQUI,Entertainment,Sale,-20.55
03/29/2024,03/31/2024,APPLE.COM/BILL,Shopping,Sale,-2.99
03/28/2024,03/29/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-6.02
03/29/2024,03/29/2024,APPLE.COM/BILL,Shopping,Sale,-19.99
03/28/2024,03/28/2024,APPLE.COM/BILL,Shopping,Sale,-4.99
