Transaction Date,Post Date,Description,Category,Type,Amount
11/02/2024,11/03/2024,PLAZA NACIONES UNIDAS,Shopping,Sale,-2.39
11/01/2024,11/03/2024,WENDYS ANTIGUA,Food & Drink,Sale,-4.53
11/02/2024,11/03/2024,APPLE.COM/BILL,Shopping,Sale,-9.99
11/01/2024,11/03/2024,FAYCO ANTIGUA,Health & Wellness,Sale,-10.12
11/01/2024,11/03/2024,PLAZA NORTE SB1,Shopping,Sale,-1.75
11/01/2024,11/03/2024,PLAZA MONTE SAGRADO,Shopping,Sale,-1.75
11/02/2024,11/03/2024,PLAZA MONTE SAGRADO,Shopping,Sale,-1.75
10/30/2024,11/01/2024,SUPER LA TORRE MADERO -VN,Groceries,Sale,-74.32
10/31/2024,11/01/2024,APPLE.COM/BILL,Shopping,Sale,-0.99
10/31/2024,11/01/2024,COFI O STAHL (CARRETERA S,Automotive,Sale,-223.54
10/31/2024,11/01/2024,CEMACO PRADERA CAES,Home,Sale,-13.60
10/31/2024,11/01/2024,NOVEX CARRETERA AL SALVAD,Home,Sale,-33.69
10/30/2024,11/01/2024,GASOLINERA EL PASO 3,Gas,Sale,-64.80
10/30/2024,10/31/2024,AMAZON MKTPL*BE8G12KZ3,Shopping,Sale,-126.38
10/30/2024,10/31/2024,PROTON AG,Professional Services,Sale,-8.99
10/28/2024,10/30/2024,ANAIS PRADERA CONCEPCION,Shopping,Sale,-58.14
10/28/2024,10/30/2024,NORRIS MCLAUGHLIN AND,Professional Services,Sale,-1500.00
10/28/2024,10/30/2024,CENTRO COM PRADERA CONCEP,Travel,Sale,-1.94
10/29/2024,10/30/2024,AMAZON MKTPL*FF6FH0QC3,Shopping,Sale,-71.68
10/29/2024,10/30/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-2.40
10/29/2024,10/30/2024,STARBUCKS FRAIJANES,Food & Drink,Sale,-8.55
10/28/2024,10/29/2024,CEMACO PRADERA CAES,Home,Sale,-43.16
10/28/2024,10/29/2024,Datacamp Inc.,Professional Services,Sale,-74.99
10/25/2024,10/28/2024,MI CLARO,Bills & Utilities,Sale,-1.42
10/25/2024,10/28/2024,MI CLARO,Bills & Utilities,Sale,-1.42
10/25/2024,10/27/2024,SAN MARTIN PLAZA MADERO,Food & Drink,Sale,-2.27
10/25/2024,10/27/2024,CAFE BARISTA CB143 BARBER,Food & Drink,Sale,-10.61
10/25/2024,10/27/2024,CAFE BARISTA CB195 LA ISL,Food & Drink,Sale,-2.20
10/25/2024,10/27/2024,PROCASA PLAZA NOVITA,Shopping,Sale,-28.62
10/26/2024,10/27/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-51.09
10/25/2024,10/27/2024,SUPER LA TORRE MADERO -VN,Groceries,Sale,-87.51
10/25/2024,10/27/2024,PRICESMART FRAIJANES,Shopping,Sale,-321.73
10/25/2024,10/27/2024,FRINGE,Personal,Sale,-226.60
10/24/2024,10/25/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-10.96
10/24/2024,10/25/2024,FARMACIAS GALENO 68,Health & Wellness,Sale,-6.47
10/22/2024,10/24/2024,CAFE BARISTA CB143 BARBER,Food & Drink,Sale,-5.44
10/22/2024,10/24/2024,CAFE BARISTA CB143 BARBER,Food & Drink,Sale,-23.18
10/22/2024,10/24/2024,FRINGE,Personal,Sale,-35.61
10/22/2024,10/23/2024,FARMACIA CRUZ VERDE EL CA,Health & Wellness,Sale,-41.54
10/21/2024,10/23/2024,SUBWAY PLAZA VARIETA,Food & Drink,Sale,-20.59
10/22/2024,10/23/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-39.96
10/22/2024,10/23/2024,MCDONALDS BARBERENA,Food & Drink,Sale,-4.53
10/21/2024,10/22/2024,ESTACION DE  SERVICIO CAS,Gas,Sale,-51.41
10/21/2024,10/22/2024,OVERSEAS PPT RENEWAL,Bills & Utilities,Sale,-130.00
10/19/2024,10/21/2024,APPLE.COM/BILL,Shopping,Return,39.00
10/17/2024,10/20/2024,DOLLARCITY PLZ BARBERENA,Home,Sale,-2.59
10/19/2024,10/20/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-46.31
10/17/2024,10/18/2024,STARBUCKS FRAIJANES,Food & Drink,Sale,-8.81
10/17/2024,10/18/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-5.12
10/17/2024,10/17/2024,Payment Thank You-Mobile,,Payment,232.92
10/15/2024,10/17/2024,SUPER LA TORRE MADERO -VN,Groceries,Sale,-130.41
10/15/2024,10/17/2024,CENTRO COM PRADERA CONCEP,Travel,Sale,-1.94
10/16/2024,10/17/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-1.77
10/16/2024,10/17/2024,SAN MARTIN LA CASONA,Food & Drink,Sale,-9.33
10/15/2024,10/17/2024,CEMACO PRADERA CONCEPCION,Home,Sale,-93.53
10/15/2024,10/16/2024,QUICK PHOTO DIGITAL PRADE,Shopping,Sale,-9.72
10/15/2024,10/16/2024,LA SERCHA PLAZA MADERO,Personal,Sale,-7.12
10/16/2024,10/16/2024,TRANSACTION FEE,Fees & Adjustments,Fee,-10.11
10/16/2024,10/16/2024,XOOM.COM,Personal,Cash Advance,-202.29
10/15/2024,10/15/2024,Payment Thank You-Mobile,,Payment,2275.71
10/14/2024,10/15/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-3.68
10/12/2024,10/14/2024,CAFE BARISTA CB143 BARBER,Food & Drink,Sale,-7.38
10/13/2024,10/14/2024,DRIBBLEUP.CO*MEMBRSHIP,Shopping,Sale,-18.39
10/12/2024,10/13/2024,APPLE.COM/BILL,Shopping,Sale,-39.00
10/11/2024,10/13/2024,UNITED      0162427694681,Travel,Sale,-298.81
10/11/2024,10/13/2024,UNITED      0162427694680,Travel,Sale,-298.81
10/11/2024,10/13/2024,UNITED      0162427694679,Travel,Sale,-298.81
10/11/2024,10/13/2024,EXPEDIA 72940472298237,Travel,Sale,-104.88
10/10/2024,10/11/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-3.11
10/10/2024,10/11/2024,DNH*GODADDY#3344901151,Bills & Utilities,Sale,-23.88
10/10/2024,10/11/2024,GLOBAL SPORTS CORPORATION,Entertainment,Sale,-110.06
10/10/2024,10/11/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-6.57
10/09/2024,10/11/2024,FARM CRUZ VERDE FRAIJANES,Health & Wellness,Sale,-86.21
10/09/2024,10/10/2024,MAZA BOULANGERIE Y PATISS,Groceries,Sale,-7.51
10/09/2024,10/10/2024,PUERTA DEL SOL CONCEPCION,Groceries,Sale,-53.85
10/09/2024,10/10/2024,PEDIATRAS ASOCIADOS,Health & Wellness,Sale,-46.61
10/09/2024,10/10/2024,MCDONALDS FRAIJANES,Food & Drink,Sale,-4.53
10/08/2024,10/09/2024,DNH*GODADDY#3341973637,Bills & Utilities,Sale,-27.82
10/08/2024,10/09/2024,KIELSA BARBERENA H41,Health & Wellness,Sale,-14.18
10/07/2024,10/08/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-24.19
10/06/2024,10/08/2024,Tigo Guatemala,Bills & Utilities,Sale,-25.75
10/06/2024,10/08/2024,KIELSA FARMACEUTICA GTM 2,Health & Wellness,Sale,-4.14
10/06/2024,10/07/2024,MOVES APP SUBSCRIPTION,Personal,Sale,-20.00
10/05/2024,10/07/2024,PRICESMART FRAIJANES,Shopping,Sale,-317.42
10/05/2024,10/06/2024,NETFLIX.COM,Bills & Utilities,Sale,-7.66
10/03/2024,10/06/2024,CAFE BARISTA CB143 BARBER,Food & Drink,Sale,-6.87
10/05/2024,10/06/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-9.91
10/04/2024,10/06/2024,Tigo Guatemala,Bills & Utilities,Sale,-84.76
10/05/2024,10/06/2024,GASOLINERA EL CERINAL,Gas,Sale,-59.74
10/03/2024,10/04/2024,LA CAJA,Entertainment,Sale,-102.98
